,Unnamed: 0,issuekey,title,description,storypoint,project
15920,17496,XD-2880,add support for dynamic partition subscription for kafka source,as a developer id like to add support for dynamic partition subscription for the kafka source module so i can consume the payload from dynamic partitions,5,springxd
15921,17497,XD-2881,identify and fix dependency conflicts in dirt cp,as a developer i need to investigate the differences in dependency versions so when i createdeploy custom modules in xd i dont run into cpcl issues,1,springxd
15922,17498,XD-2882,provide an option for hdfs sink to use syncable writes,as a user id like to have an option to have the hdfs sink use syncable writes to provide better resiliency in the case of sinkcontainer failures im willing to accept the performance penalty if i choose this option,3,springxd
15923,17499,XD-2883,provide an option for hdfs sink to not use tmp extension,as a user id like to have an option to have the hdfs sink not use a temporary inusesuffix like tmp instead we should write using the filename specified directly this could be useful if we use syncable writes and the sink fails while the file is open without this new option the user would have to explicitly rename the file,5,springxd
15927,17504,XD-2888,add a gradlemaven target to upload the custom module jar,as a user id like to also have the capability to upload the custom module through mavengradle targets so i can automate the installation of custom module fragments,2,springxd
15928,17505,XD-2889,add support for custom module versioning,as a user id like to have the option to version the custom modules so i can evolve the custom module fragments in increments and be able to rollout upgrades seamlessly,5,springxd
15929,17506,XD-2890,add support to ready files line by line,as a user id like to have the option to read the file line by line so i get the optional ootb optimum file reading experience,8,springxd
15931,17508,XD-2892,add support for phd 30,as a developer id like to certify spring xd against phd 30 so i can synchronize with the latest odp based bits,3,springxd
15935,17512,XD-2896,add support to capture errorsstacktrace via dlq,as a user id like to have the configuration option to use an alternative dlq so i can publish the message this time with additional headers including one that contains the exception,3,springxd
15936,17513,XD-2897,add support to consume database changes as event streams,as a user id like to have the ootb module to consume database changes as event streams so i can incrementally synchronize with realtime db updates with various destinations such as brokers hadoop db etc,8,springxd
15938,17515,XD-2899,improve ha support for rabbit,as a developer i would like to connect to the broker that hosts the rabbit queue so i can connect to a rabbit cluster thats setup for haft perhaps consider having this feature natively supported in spring amqp itself,3,springxd
15939,17516,XD-2900,upgrade to latest gemfire release,as a developer id like to synchronize with the latest gemfire version so i can leverage the latest gemfire features and as well support updated bds stack this effort in xd depends on spring data gosling ga release which in turn depends on gemfire 81 release timelines,2,springxd
15940,17517,XD-2901,add support to deploy stream in a single container,as a developer id like to deploy a stream in the same container so all modules are colocated within the container perhaps also consider building leader election within modules in order to automatically failover the application from one container to another,8,springxd
15941,17518,XD-2902,upgrade to latest si release,as a developer id like to upgrade to si milestonega release so i can synchronize with jmx improvements this is dependent on si milestone and ga release timelines,1,springxd
15942,17519,XD-2903,upgrade to 112 sik release,as a developer id like to upgrade to si kafka release so i can synchronize with latest improvements and bug fixes,1,springxd
15943,17520,XD-2904,upgrade to boot 123 release,as a user id like to upgrade to spring boot 123 release do i can leverage the latest improvements and bug fixes we should also syncup the following dependency updates to synchronize with boot code 113 251 800 14185 153 123final 27 1921 5111 277 201 8021 185 243 131 929v20150224 144 321 2322 206 332 11019 mongodbversion2130 1711 111release 401release 262 221release code,1,springxd
15944,17521,XD-2905,complete remaining work for the debs challenge,as a developer id like to complete the remaining work with debs challenge so i can submit by the deadline,2,springxd
15945,17522,XD-2906,create a new ci build to verify install target,as a developer id like to add a new ci build to include _install_ target so i can verify the target expectations as it is often time consuming to verify it in the development environment,2,springxd
15946,17523,XD-2907,create a reference architecture for high throughput rt analytics using xd and kafka,as a developer id like to have the xd kafka poc published in samples repo so i can include it as reference architecture for the xd blog,5,springxd
15948,17526,XD-2910,revisit benchmark matrix for sqoop vs jdbshdfs jobs,as a developer id like to revisit performance benchmarks with new improvements so i can verify the optimizations around _jdbchdfs_,1,springxd
15949,17527,XD-2911,improve performance of tuplebuilder,as a developer id like to bench test cases around tuplebuilder so i can identify the bottlenecks and tune for performance optimizations,8,springxd
15950,17528,XD-2913,simplify gpdb ux around parameters for the sqoop job,as a developer id like to have a simplified ux around parameters for gpdb so i dont have to escape each parameter the scope is also to test the sqoop job with sqlserver and gpdb to identify the ux differences,8,springxd
15951,17529,XD-2914,create a pluggable runtime spi,as a developer id like to migrate module deployment from the repository abstraction so i can create it as a pluggable runtime spi,8,springxd
15952,17530,XD-2915,create boot based modulerunner,as a developer id like to build isolated bootbased modulerunner for use in containermanaged environments so i can run xd without the hard requirement for running _xdcontainers_,8,springxd
15953,17531,XD-2916,create a java client for receptor,as a developer id like to create a java client for receptor so i can interact with diego runtime via receptor api calls from xd,8,springxd
15954,17532,XD-2917,refactor streamjob definition repository,as a developer id like to refactor streamjob definition repository so i can decouple from module deployment concerns,8,springxd
15955,17533,XD-2918,define pluggable runtime spi,as a developer id like to define pluggable runtime spi so i have the option to choose the implementation based on deployment targets such as cf onprem mesos etc,5,springxd
15956,17534,XD-2919,create persistent stream repository,as a developer id like to create persistent repository for streams so i could leverage the persisted metadata and reestablish the streaming pipe under failure conditions,5,springxd
15958,17536,XD-2921,clarify the use of escape quotes for properties in the sqoop job,as a developer id like to add documentation on escape quotes so when someone using sqoop job can double escape n instead of sending quotes n to successfully submit the job,1,springxd
15959,17537,XD-2922,upgrade spark version to 131,as a spring xd user id like to create streaming pipelines so i can take advantage of latest specs from both xd and sparkspark streaming,3,springxd
15964,17543,XD-2929,document the use of nested jobs with example,as a developer id like to document how to nest batch jobs and workflows in xd so it will be easy for endusers to use it as reference,1,springxd
15965,17544,XD-2930,add configurable hadoop_user_name support,as a developer id like to configure hadoop_user_name environment variable to implement and runasuser for kerberos secured clusters this would need some additional work in shdp,5,springxd
15968,17547,XD-2933,parameterize import options for sqoop,as a user id like to parameterize all import options so i can eliminate the need for args option since it gets confusing,2,springxd
15969,17548,XD-2934,parameterize codegen options,as a user id like to parameterize codegen options so i can generate code on the fly as needed,5,springxd
15970,17549,XD-2935,parameterize merge options,as a user id like to parameterize merge options so i can incrementally consume the delta with the help of megastore,5,springxd
15971,17550,XD-2936,add timeout for sqoop jobs,as a user id like to have an option to specify _timeout_ so i can expect the job to not run forever if it is in hung state,3,springxd
15973,17552,XD-2938,sqoop unable to create job using merge command,as a user i need to use xd sqoop module to support the merge command currently the sqooprunner createfinalarguments method forces the requirement for connect username and password options which are not valid for the merge option a check of the module type to not force these options being assigned to sqoop arg list would be preferred,5,springxd
15977,17556,XD-2943,sql script processor,as a users i would to be able to execute sql statementscript via a processor or job statement,3,springxd
15979,17558,XD-2945,externalized rowmapper from the namedcolumnjdbcitemreader,as a user i want to be able to provide my own rowmapper implementation to enrich the jdbc data my use case requires me to add timestamp field and a delete flag field to records before they get written to hdfs to do it i have to implement a itemreaderfactory and perhaps extend namecolumnjdbcitemreader this is to override the afterpropertyset method to change the default implementation otherwise i have to write my own processor that can add these fields to tuples and since tuples are immutable i would have to recreate the tuples with additional fields in the processor for large load this could be big overhead i would love to know any other technique to implement such a use case,1,springxd
15980,17560,XD-2947,add support for expressions and dynamically evaluate at runtime,as a user id like to have the ability to use expressions so i can dynamically name directoriesfiles based on the timestamp or other intermediate data point,5,springxd
15985,17565,XD-2952,escape delimited characters in jdbchdfs job,as as user i want to be able to escape delimiter character currently i cannot use this job oob to create csvs that are usable in hivehawq because of unescaped delimiters,1,springxd
15987,17567,XD-2955,refactor messagebus to avoid unnecessary use of messagebuilder,as a developer id like to refactor the programmatic means by which the messagebus transforms the message so throughput performance can be optimized,5,springxd
15988,17568,XD-2956,revisit the requirement for id and timestamp attributes in tuple,as a developer id like revisit the design to determine the necessity for _id_ and _timestamp_ attributes in tuple so i can refactor in order to improve performance throughput,1,springxd
15989,17569,XD-2957,create samples and document kryo optimization guidelines,as a developer id like to document the kryo optimization guidelines so the endusers can refer to it while tuning to improve performance,3,springxd
15990,17570,XD-2958,upgrade to kafka 082,as a developer id like to upgrade to kafka 082 so i can leverage the latest features in order to test the performance characteristics,8,springxd
15991,17571,XD-2959,create a new loadgenerator for tuple,as a developer id like to create a tuple _loadgenerator_ so i can use it to measure tuple based payload performance,3,springxd
15992,17572,XD-2960,add a new load generator to produce serialized payloads,as a developer id like to create a new _loadgenerator_ so i can use it to measure highly optimized payload to measure the performance differences,3,springxd
15993,17573,XD-2961,benchmark against kafka 082 release,as a developer id like to rerun _baseline_ _tuple_ and _serialized_ payloads so i can compare the differences in performance between 081 and 082 kafka releases note 111 benched against 081 12 benched against 082,8,springxd
15994,17574,XD-2962,document performance benchmark results,as a developer id like to document performance benchmark results along with the infrastructure specifics so i can publish the blog for customersusers to use it as a reference while setting up spring xd cluster,8,springxd
15995,17575,XD-2964,spike come up with a design for stateful stream processing,as a developer id like to study the state management requirements so i can brainstorm and identify the design to natively add _stateful_ stream processing support in xd,8,springxd
15996,17576,XD-2965,integrate with spring data repository,as a developer id like to integrate with spring data repository thats backed by kafka _changelog_ so i can leverage the benefits of local data affinity in order to run stateful stream processing logic,8,springxd
15997,17577,XD-2966,add support to flush offset management,as a developer id like to add support to _flush_ offsets intelligently so i can reliably process streams based on successful message acknowledgements from the moduleproducer,8,springxd
15998,17578,XD-2967,add support to flush local state,as a developer id like to add support to _flush_ state intelligently so i can reliably process streams based on successful message acknowledgements from the moduleproducer,8,springxd
15999,17580,XD-2969,add a coap source module,as a developer id like to have the option of coap source module so i can consume data using bandwidth efficient protocol that fits in constrained embedded environment,3,springxd
16001,17582,XD-2971,document the use of properties file as deployment manifest,as a user id like to refer to the documentation to configure the properties file so i can use it as recommended to represent the deployment manifest,1,springxd
16003,17584,XD-2973,run the sqoop job against secured cluster,as a user id like to run the sqoop jobs against secured hdfs cluster so i can restrict access to only authorized users,3,springxd
16008,17589,XD-2979,submit java receptor client for cf incubation,as a user id like to use the java receptor client so i can interact with diego runtime using the java receptor rest apis,8,springxd
16009,17590,XD-2980,create boot based modulerunner,as a user id like to use bootbased modulerunner for use in containermanaged environments so i can run xd without _xdcontainers_ scope complete the remaining deployment properties work,8,springxd
16014,17596,XD-2986,experiment with reparsing of streams when needed,as a follow up to xd2877 experiment with the removal of the list of modules from basedefinition and reparse as needed branch is here,8,springxd
16017,17599,XD-2990,spike research the stream support for reliable hdfs writes,as a user id like to have the option of reliable hdfs writes so i can get acknowledgement of actual hdfs _commits_ as opposed to just from the message bus,5,springxd
16018,17600,XD-2991,add support to override partition function,as a developer id like override the partition function within my source or processor module so i can send the data to a specific partition,5,springxd
16019,17601,XD-2992,add support for multiple topics in kafka source,as a user id like to consume multiple topicpartitions so i can have the option to consume from multiple data endpoints and still be able to serve the data via single queue,3,springxd
16020,17602,XD-2993,add a new variation of dsl parser for flo,as a flo developer id like to have a new dsl parser so i can easily detect incorrect moduleoption values when supplied from the flo ui example mystream mail log tapstreammystreambar log if parsed separately the current parser endpoint will barf on the second stream because it doesnt know about the first stream,8,springxd
16023,17605,XD-2996,align spring xd partitioning with kafka partitioning for the kafka message bus,as a developer i want that the spring xd partitioning process targets kafka bus partitions directly so that the design of my stream processing application is easier to understand and the order of messages is not altered current situation spring xd partitioning logic that builds on top of kafka partitioning the number of spring xd partitions is not explicitly configured if the concurrency of the consumer modules is 1 then spring xd partitions are matched 11 with kafka partitions if the concurrency of the consumer modules is n then a spring xd partition uses n kafka partitions and the message bus distributes messages across the kafka partitions that correspond to the spring xd partitions this could be confusing to the end user especially if they are used to the kafka partitioning process this can also lead to changes of ordering between messages as messages within the same spring xd partitions will be sent to different kafka partitions improvement for the kafka message bus the number of spring xd partitions does not need to be equal to the number of modules and should be configured explicitly using the partitioncount property as a result in the case of kafka there will always be a 11 match between kafka partitions and spring xd partitions optionally processed by fewer modules than the partition count,5,springxd
16024,17606,XD-2997,deploy stream in a single xdcontainer,as a developer id like to design and document the approach towards deploying stream in a single container so i can have all modules within a stream colocated,5,springxd
16025,17607,XD-2998,tuplecode should retain custom formatting settings,as a developer id like to handle the nondefault configurableconversionservice tuples in an uniform manner so theyre not reset after deserialization,5,springxd
16026,17608,XD-2999,benchmark with and without jmx activated,as a developer id like to benchmark a stream with and without jmx enabled so i can test in isolation and document the differences in performance,3,springxd
16030,17612,XD-3003,add support for using sqoop metastore,as a user id like to have the option to change the default sqoop _metastore_ so i can implement a db of my choice and not tied to default specifications refer to this threadhttpstackoverflowcomquestions24078668howtochangesqoopmetastore for more details,1,springxd
16045,17628,XD-3019,document how to use the module registry backed by hdfs,as a user id like to refer to the documentation so i can configure hdfs backed module registry as recommended,1,springxd
16046,17629,XD-3020,persist deployment properties,as a user i would like the ability to undeploy or suspend a module without losing the deployment properties currently when temporarily suspending a module an undeploy and redeploy is executed during the redeploy the deployment properties need to be added again instead it would be nice if the properties are persisted so they automatically included with the deployment,5,springxd
16049,17633,XD-3024,add new restapi to get all the counters gauges and richgauges,as a user id like to have a restapi to get all the _counters_ _gauges_ and _richgauges_ in a single request so i dont have to issue multiple request to fetch each one of the metrics by nameid for custom dashboards example code metricscountersall metricsgaugesall metricsrichgaugesall code,5,springxd
16051,17635,XD-3026,support specifying the default values for the module at the module config,as a spring developer i can specify the default value for the module configs at the module config xml file and if no specific overriding options given the default value should get preferred currently i see that by design we want to rely on the default option values from the moduleoption metadata but the cases where some module configurations cant have the default and would be tempting to just try deploying after changing the twitterstreamxml with the default value expecting it to work,3,springxd
16061,17646,XD-3037,create documentation for kafka source multiple topic support,as a user i want to have a documentation that shows how to configure multiple topics with kafka source module,1,springxd
16063,17648,XD-3040,create boot based modulerunner,as a user id like to use bootbased modulerunner for use in containermanaged environments so i can run xd without _xdcontainers_ scope,5,springxd
16065,17651,XD-3043,document gf specific configuration properties,as a user id like to use the gf source along with native gf authentication enabled so i can consume data from gf in a secured way id like to refer to documentation on where the gf specific native and security properties needs configured see this sc post for more details,1,springxd
16066,17652,XD-3044,add jdbcgpfdist batch job,as a user id like to have an ootb _jdbcgpfdist_ batch job so i can read from jdbc and write to hawqgpdb using _gpfdist_ protocol the scope is to reuse the existing gpfdist sink code and adapt it to fit the batch model,8,springxd
16067,17653,XD-3045,separate mocks and real repository responsibilities from test coverage,as a developer id like to separate mocks vs real repository coupling from the test infrastructure so it is easy to test against thin layer of dependencies,8,springxd
16072,17658,XD-3050,move reactor based processor module from springxdmodules to core,as a developer id like to move the project reactor based data processor module from _springxdmodule_ repo to the core so i can natively use reactors stream api to build processor modules,3,springxd
16074,17660,XD-3052,move gpfdist sink from springxdmodules repo to the core,as a developer id like to move the project reactor based gpfdist from springxdmodule repo to the core so i can natively use this sink to write to gpdbhawq,2,springxd
16079,17665,XD-3057,using github repo for xd module registry,as a devops i would prefer having my module registry located in centralized github repository this would allow all the admins and containers in the cluster pointing to the same module registry any new module upload would be pushed to the same github repo which will make the cluster always be in sync on the module registry,5,springxd
16083,17669,XD-3061,remove idtimestamp from tuple and related methods on tuplebuilder,as a developer id like to remove _id_ and _timestamp_ attributes from the tuple class so i can improve performance characteristics by not having them go through _serde_ instead we could leverage message headers to collect such information,3,springxd
16089,17675,XD-3068,provide configuration option to specify the default output channel for router sink,as a user i would like to specify the default output channel when the channel name resolution doesnt occur in cases where i wont prefer to lose the data and like to investigate the messages from errorchannel or that sort,2,springxd
16092,17678,XD-3071,spike produce rabbit baseline on rackspace infrastructure,as a developer id like to bench rabbit on rackspace infrastructure so i can have a sense on how it scales as we add more _xdcontainer_ nodes,8,springxd
16093,17679,XD-3072,flo parser improvements,as a flo developer id like to add improvements to existing flo parser endpoints so i can streamline the error reporting strategy,3,springxd
16097,17683,XD-3076,add ssl properties to the mail source,as a user id like to use the _mail_ source to connect to secured imap andor smtp mail servers _mail_ source config file requires a bean provided to the adapter via the javamailproperties attribute ref examplehttpdocsspringiospringintegrationdocslatestgareferencemail codexml javaxnetsslsslsocketfactory false imaps false code list of all javamail properties,1,springxd
16098,17684,XD-3077,default hdfs as custom module registry for yarn deployments,as a developer id like to default to hdfs as distributed remote location for custom module registry so i can use xdshell or the restapi directly to upload the custom module bits i would also like to remove custommoduleszip artifact from yarn distribution,3,springxd
16113,17702,XD-3097,provide defaults for xdshell,as a user id like to have shell to automatically configure itself against an environment i have setup this really came up with ambari work where shell can be anywhere in a cluster best i was able to do for now is to build an init file for commands code cat etcspringxdconfxdshellinit admin config server httpambari2localdomain9393 hadoop config fs namenode hdfsambari2localdomain8020 code and then run those after starting xdshell code serverunknownscript file etcspringxdconfxdshellinit admin config server httpambari2localdomain9393 successfully targeted httpambari2localdomain9393 hadoop config fs namenode hdfsambari2localdomain8020 script required 0662 seconds to execute xd code,1,springxd
16114,17704,XD-3099,spike support graceful shutdown of modules in a stream,as a user id like to have the option to gracefully shutdown the stream so when it is _undeployed_ while in the middle of its operation we would want to complete its journey to the sink before xd stops the stream use case one of the streams has a custom module that performs archive extraction when this stream is undeployed while in the middle of extraction it looks like the message goes to the dlq however we would like the message to complete its journey to the sink of the queue before xd stops the stream is this possible,8,springxd
16116,17707,XD-3102,benchmark xd rc1 using kafka 082 as transport,as a developer id like to rerun _baseline_ _tuple_ and _serialized_ payloads so i can compare the differences in performance between 081 and 082 kafka releases sinks to be included in test inmemory transport hdfs sink direct binding transport hdfs sink kafka hdfs sink,8,springxd
16117,17708,XD-3103,adapt to xd reactor processor fixes and improvements,as a developer id like to upgrade to 203 release of reactor so i can inherit the latest optimizations to further improve xd performance characteristics,3,springxd
16118,17710,XD-3105,turnoff jmx by default,as a developer id like to have jmx turnedoff by default so i can take advantage of the performance throughput benefits,1,springxd
16120,17712,XD-3107,fix gradle build issues,as a xd build master id like to fix the outstanding build issues so i can evaluate that publish builds works as expected,3,springxd
16123,17715,XD-3110,cleanup compiler and javadoc warnings from the build,as a developer id like to cleanup compiler and javadoc warnings from the build so we dont see the warnings in build sysout,2,springxd
16129,17723,XD-3118,update rpm script to include number of containers to be started,as a user id like to start multiple instances of xdcontainers through the rpm scripts so i can easily spinup instances on the same nodevm,2,springxd
16137,17732,XD-3127,create a landing section for ootb batch jobs,as a user id like to refer to ootb batch jobs and the documentation so i can jump to the right job section and review details,1,springxd
16148,17743,XD-3139,document the new analytics tab features,as a user id like to refer to the analytics tab docs so i can understand how to use various widgets from streaming pipeline,2,springxd
16149,17744,XD-3140,create a landing page with links for all ootb modules,as a user id like to have a landing page with higherorder links for sources processors sinks and jobs so i can jump to right section from one place,1,springxd
16153,17748,XD-3144,expose retryable exceptions in the rabbitmessagebus retry configuration,as a developer i would like to be able to configure which exceptions thrown by a module should be retryable within the rabbitmessagebus as usual these should be configurable at the bus andor stream deployment property level also consider disabling retry for kryo deserialization problems we are running spring xd with rabbitmq transport and wed like to have a way to stop retries in certain situations in spring xd 120rc1 docshttpdocsspringioautorepodocsspringxd120rc1reference in chapter about rabbitmq transport in a note about retry section its written quotemessage deliveries failing with a messageconversionexception are never retried the assumption being that if a message could not be converted on the first attempt subsequent attempts will also failquote following is unclear are we speaking about orgspringframeworkmessagingconvertermessageconversionexception or orgspringframeworkamqpsupportconvertermessageconversionexception based on xd1597 and amqp390 its the latter only orgspringframeworkmessagingconvertermessageconversionexception is available for custom module developers attempting to throw orgspringframeworkamqpsupportconvertermessageconversionexception which is provided by xd_homelibmessagebusrabbitspringamqp145releasejar results in javalangclassnotfoundexception even after spring xd is configured to use rabbit transport throwing orgspringframeworkmessagingconvertermessageconversionexception from custom processor module written with spring integrations transformer or serviceactivator doesnt stop retries,5,springxd
16161,17756,XD-3152,update to spring integration 415,as a developer id like to update to the 415 si release so i can pickup the latest improvements to message channels,1,springxd
16162,17757,XD-3153,update to spring integration kafka 120 ga,as a developer id like to update to si kafka extension 120 so i can leverage the latest performance improvements,1,springxd
16163,17758,XD-3154,update to spring hadoop 220 ga,as a developer id like to update to spring hadoop 220 ga release so i can leverage the latest improvements,1,springxd
16164,17759,XD-3156,add tap notification support for java dsl based batch job creation,as a developer i would like to create dsl based jobs using spring xd currently batchjobregistrybeanpostprocessor implementation has an assumption in postprocessafterinitialization method it checks if the beans are instanceof stepparserstepfactorybean which is xml based steps therefore any xd step listeners for tap events are not getting registered effectively im not getting any step events out of my dsl based jobs apparently everything else is working alright for the java dsl job java dsl jobs are far easier to write testintegration tests with please review issue type i was not sure if this was a bug or improvement i supposed it is an improvement,1,springxd
16165,17760,XD-3157,how to get in the modules container id and module id,as a developer i in the new development of component how to get the module id and container id because components need to generate log log information must include the unique identifier xdruntime modules,1,springxd
16171,17767,XD-3164,kafka bus defaults configurable at producerconsumer level,as a developer i want to be able to override kafka bus defaults for module consumers and producers so that i can finely tune performance and behaviour such properties should include autocommitenabledqueuesizemaxwaitfetchsize for consumers batchsizebatchtimeout for producers,3,springxd
16172,17768,XD-3165,synchronize xd and xd ambari rpms into a single repo,as a pm id like to have xd and xd ambari rpm scripts into a single public repo so that users can go to a single location to use the respective build scripts,3,springxd
16173,17769,XD-3166,publish performance benchmarks,as a developer id like to publish performance benchmarks along with the infrastructure specifics so the users can use it as a reference while setting up spring xd cluster,8,springxd
16176,17772,XD-3169,spike explore options for batch modules to be short lived,as a developer id like a job module to be bootstrapped when the job is launched and shut down once it is complete instead of the current behavior of bootstrapping the context when the module is deployed regardless of if its being used so that i can achieve better resource utilization,8,springxd
16177,17773,XD-3170,update spark streaming documentation,as a user i need to know the spark streaming features like adding tap at the spark module output and the examples need to be updated the documentation also needs some more information on reliable receiver,1,springxd
16180,17776,XD-3173,improve user experience on http shell commands,as a user id like to be able to understand the root cause of an error on the http shell command when an exception occurs on an http shell command the user gets failed to access http endpoint s target no information from the exception is conveyed to the user,1,springxd
16198,17794,XD-3192,spike investigate boot export metrics and the xd fit,as a user id like to have the moduleapp specific metrics consumed directly from boot actuator export api so i can have insight on how it is performing being used and that it works etc,8,springxd
16199,17795,XD-3193,spike investigate bootification of module options,as a developer id like to handle module options via pure boot property source management so i can leverage boots module metadatahttpdocsspringiospringbootdocscurrentsnapshotreferencesingleconfigurationmetadata option to inject module options as opposed to maintaining them in core spring xd runtime cp,8,springxd
16200,17796,XD-3194,spike investigate springcloudconfig and the xd fit,as a developer id like to have a central place to manage external properties for applications across all the environments so i can provide server and clientside support for externalized configuration for xdadmin and xdcontainer servers,8,springxd
16201,17797,XD-3195,investigate rabbit performance issues,as a developer id like to troubleshoot the performance issues with rabbit as message bus implementation so i can isolate the bottleneck and fix as appropriate,8,springxd
16202,17798,XD-3196,move master branch ci builds to ec2 based infrastructure,as a developer id like to migrate the current master branch ci builds to ec2 instances so i can manage them all in oneplace reliably,8,springxd
16203,17799,XD-3197,add support for ambari installed spring xd on yarn,as a developer id like to add an option to support apache ambari installed spring xd on yarn so i can easily establish the cluster up and running,5,springxd
16204,17800,XD-3198,spike investigate the use of config server for springcloudstream modules,as a developer id like to use springcloudconfig server for springbus modules so i can centrally manage external properties,8,springxd
16205,17801,XD-3199,split core dependencies between springbus and xd proper,as a developer id like to split up springxd dependencies to more finegrained so i can get the ones below the line down to springbus instead of springxd bundle,8,springxd
16206,17802,XD-3200,module delete command on windows does not delete the module entirely,as a user im trying to delete the custom module using the module delete command via shell though the command is successfully im still seeing the associated artifact present in the custom_modules folder refer to so threadhttpstackoverflowcomquestions30984922springxdmoduledeletecommanddoesnotdeletetheuploadedjarfile for more details,5,springxd
16208,17804,XD-3202,investigate performance of channel metrics in si 42,as a developer id like to investigate channel performance issues in si 42 so i can determine the bottlenecks and take corrective actions to improve overall channel performance,8,springxd
16209,17805,XD-3203,measure serialization baseline,as a developer id like to measure the baseline serialization characteristics in xd so i can determine the areas of performance improvements,5,springxd
16210,17806,XD-3204,review springbus design specs,as a springbus lead id like to review the current springbus architecture and the design specs so i can address any foundation level gaps,5,springxd
16211,17807,XD-3205,investigate the steps to ambari upgrade spring xd,as a user id like to upgrade spring xd from 12 rc to 12 ga using the ambari plugin so i can work on the latest release bits id like to refer to the documentation to do so,1,springxd
16217,17813,XD-3211,hdfstextitemwriter does not work with hadoop localfilesystem fsurifile,as a user i would like to use fsuri file to use hadoop localfilesystem instead of a running cluster in my use case my data scientist team requested to provide me a local csv of data that is being loaded using jdbchdfs job the quickest way to solve this was to change the fsuri to file and it should have just worked this will work alright for singlenode setups for multiple containers hosted on multiple machines will split the file across different machines but then i believe it is fair to assume that the developer must know what he is doing,1,springxd
16221,17817,XD-3215,add a way to specify system properties for sqoop job,as a user id like to have the option to specify system properties that will be passed in to the sqoop job which runs in its own java process this is needed for defining memory usage and also for defining some options for various connector implementations,5,springxd
16223,17819,XD-3217,cannot connect to admin server with basic security enabled,as a user im trying to connect to xdadmin server with basic security enabled however im unable to successfully connect to the server and i get the following error message codejava serverunknownadmin config server uri httplocalhost9393 username bob password bobspwd unable to contact xd admin server at httplocalhost9393 code,5,springxd
16228,17824,XD-3222,find a way to connect sqoop job to teradata,as a user i would like to connect the sqoop batch job to teradata for import jobs i have tried the teradata jdbc driver directly using codejob create tdtest definition sqoop commandimport argstable frequent_flyers connect jdbcteradatatdexpressdatabasetransportation driver comteradatajdbcteradriver username dbc password dbc targetdirxdteradata nummappers 1 code but that results in an npe the only way so far is to use the hortonworks connector for teradata httppublicrepo1hortonworkscomhdptools2242hdpconnectorforteradata13422422distrotargz that one allows me to use the following codejob create tdtest definition sqoop commandimport argstable frequent_flyers connect jdbcteradatatdexpressdatabasetransportation connectionmanager orgapachesqoopteradatateradataconnmanager username dbc password dbc targetdirxdteradata nummappers 1 code,3,springxd
16229,17825,XD-3223,configure logging directory outside of xdhome,as a user i would like to be able to configure the logging directory to be outside of what is defined as xdhome the logging directory is currently hard coded as codexdhomelogscode this would be useful for rpm installations where the logs really should be going to varlogsspringxd instead of the current optpivotalspringxdxdlogs location,3,springxd
16230,17826,XD-3224,move messagebus implemenation from xd to springcloudstreams phase 1,as a developer id like to move messagebus from spring xd repo into springbus so i can update spring xd to inherit the featuresfunctionalities via maven dependency,8,springxd
16231,17827,XD-3225,move inputoutput typeconversion from xd to springcloudstream,as a developer id like to move inputoutput type conversion from spring xd repo into springbus so i can update spring xd to inherit the featuresfunctionalities via maven dependency,8,springxd
16232,17828,XD-3226,move serialization codec from xd to springcloudstream phase 1,as a developer id like to move serialization codec from spring xd repo into springbus so i can update spring xd to inherit the featuresfunctionalities via maven dependency,8,springxd
16233,17829,XD-3227,spike kickoff singlenode implementation of admin spi,as a developer id like to develop a singlenode implementation of xd admin spi so i can run data pipeline usecases locally,8,springxd
16234,17830,XD-3228,spike kickoff distributed receptor implementation of admin spi,as a spring xd user id like to use diego based receptor implementation of xd admin spi so i can run data pipeline usecases running on cf latticediego,8,springxd
16235,17831,XD-3229,spike xd admin spi to discover scs modules,as a scs user id like to investigate the possibility of scs modules selfregistering themselves to service discovery so i could use spring xd runtime to discover and orchestrate such modules through streams,8,springxd
16236,17832,XD-3230,update to reactor 204,as a developer id like to upgrade to reactor 204 release so i could leverage the latest improvements and bugfixes,1,springxd
16237,17833,XD-3231,add support to ambari install multiple xd admins,as a developer id like to update ambari installed spring xd cluster to spinup multiple instances of xdadmin servers so it is setup for ha,5,springxd
16239,17835,XD-3233,enable component model for springcloudstreams,as a developer id like to create an annotation driven programming model for modules so instead of explicitly defining io channels as beans on the module for classes annotated with enablemodule the application would be responsible for creating the actual channel beans and channel adapters vs the developer creating concrete channel instance types the input and output annotations will be used to indicate the input and output channels of the module,8,springxd
16243,17839,XD-3238,complete remaining kryo optimization changes,as a developer id like to complete the remaining kryo optimization changes so i can polish and get the guidelines documented appropriately,1,springxd
16244,17840,XD-3239,move 12x branch to ec2 ci infrastructure,as a developer id like to move 12x branch to ec2 infrastructure so i can reliably run ci test suites,2,springxd
16258,17857,XD-3256,spike investigate installation of xd modules from maven repo,as a developer id like to brainstorm and investigate various techniques around installation of xd modules from a maven repo so i could define the module artifactid from cli to have the module downloaded from the repo and installed to a running spring xd runtime,8,springxd
16262,17861,XD-3260,move serialization codec from xd to spring integration,as a developer id like to move serialization codec from spring xd repo into si so i can update spring xd to inherit the featuresfunctionalities via maven dependency,2,springxd
